=== PAGE 1 ===
# Sheet: Front page
UK Government GHG Conversion Factors for Company Reporting
Front page
 | Next publication date: | June 2027 | Factor set: | Flat file
 | Version: | 1.2 | Year: | 2026
 | UK Government GHG Conversion Factors for Company Reporting
 | Flat File Data Format
 | Status: | Final
 | Version: | 1.2
 | Updated: | 2026-07-10 00:00:00 | An error was identified whereby some factors for which no data were available were reported as 0 rather than left blank. This affected well-to-tank emissions factors for certain hybrid, CNG and LPG cars, and hotel stay factors for certain countries. These values have been corrected in this version.
 | Year: | 2026
 | Description: | 2026 update
 | Next publication date: | 2027-06-01 00:00:00
 | For technical queries, please contact Greenhouse Gas Statistics at GreenhouseGas.Statistics@energysecurity.gov.uk
 | NOTE: The scope of the factors is defined to be relevant to emissions reporting, although the factors may also be used for other purposes.  Regardless of this, their usage is at the users’ own risk.
=== PAGE 2 ===
# Sheet: Factors by Category
UK Government GHG Conversion Factors for Company Reporting
Factors by Category
Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].
 |  | Category
ID | Scope | Level 1 | Level 2 | Level 3 | Level 4 | Column Text | UOM | GHG/Unit | GHG Conversion Factor 2026
1_100_1006_7_3 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.0001
1_100_1006_7_4 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.0001
1_100_1006_6_1 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Gross CV) | kg CO2e | 0.18323
1_100_1006_6_2 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.18305
1_100_1006_6_3 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 9e-05
1_100_1006_6_4 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 9e-05
1_100_1007_15_1 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | tonnes | kg CO2e | 2997.63233
1_100_1007_15_2 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | tonnes | kg CO2e of CO2 per unit | 2993.4
1_100_1007_15_3 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | tonnes | kg CO2e of CH4 per unit | 2.5872
1_100_1007_15_4 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | tonnes | kg CO2e of N2O per unit | 1.64513
1_100_1007_8_1 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | litres | kg CO2e | 1.54358
1_100_1007_8_2 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | litres | kg CO2e of CO2 per unit | 1.5414
1_100_1007_8_3 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | litres | kg CO2e of CH4 per unit | 0.00133
1_100_1007_8_4 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | litres | kg CO2e of N2O per unit | 0.00084
1_100_1007_7_1 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Net CV) | kg CO2e | 0.23258
1_100_1007_7_2 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.23225
1_100_1007_7_3 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.0002
1_100_1007_7_4 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00012
1_100_1007_6_1 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Gross CV) | kg CO2e | 0.2141
1_100_1007_6_2 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.21381
1_100_1007_6_3 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00018
1_100_1007_6_4 | Scope 1 | Fuels | Gaseous fuels | Propane |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00012
1_101_1008_15_1 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | tonnes | kg CO2e | 3193.6948
1_101_1008_15_2 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | tonnes | kg CO2e of CO2 per unit | 3127.67
1_101_1008_15_3 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | tonnes | kg CO2e of CH4 per unit | 39.5248
1_101_1008_15_4 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | tonnes | kg CO2e of N2O per unit | 26.5
1_101_1008_8_1 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | litres | kg CO2e | 2.33116
1_101_1008_8_2 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | litres | kg CO2e of CO2 per unit | 2.28297
1_101_1008_8_3 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | litres | kg CO2e of CH4 per unit | 0.02885
1_101_1008_8_4 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | litres | kg CO2e of N2O per unit | 0.01934
1_101_1008_7_1 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Net CV) | kg CO2e | 0.25666
1_101_1008_7_2 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.25135
1_101_1008_7_3 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00318
1_101_1008_7_4 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00213
1_101_1008_6_1 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Gross CV) | kg CO2e | 0.24382
1_101_1008_6_2 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.23878
1_101_1008_6_3 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00301
1_101_1008_6_4 | Scope 1 | Fuels | Liquid fuels | Aviation spirit |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00203
1_101_1009_15_1 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | tonnes | kg CO2e | 3178.3652
1_101_1009_15_2 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | tonnes | kg CO2e of CO2 per unit | 3149.67
1_101_1009_15_3 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | tonnes | kg CO2e of CH4 per unit | 2.1952
1_101_1009_15_4 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | tonnes | kg CO2e of N2O per unit | 26.5
1_101_1009_8_1 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | litres | kg CO2e | 2.54269
1_101_1009_8_2 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | litres | kg CO2e of CO2 per unit | 2.51973
1_101_1009_8_3 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | litres | kg CO2e of CH4 per unit | 0.00176
1_101_1009_8_4 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | litres | kg CO2e of N2O per unit | 0.0212
1_101_1009_7_1 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Net CV) | kg CO2e | 0.26061
1_101_1009_7_2 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.25826
1_101_1009_7_3 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00018
1_101_1009_7_4 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00217
1_101_1009_6_1 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Gross CV) | kg CO2e | 0.24758
1_101_1009_6_2 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.24535
1_101_1009_6_3 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00017
1_101_1009_6_4 | Scope 1 | Fuels | Liquid fuels | Aviation turbine fuel |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00206
1_101_1010_15_1 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | tonnes | kg CO2e | 3165.04181
1_101_1010_15_2 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | tonnes | kg CO2e of CO2 per unit | 3149.67
1_101_1010_15_3 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | tonnes | kg CO2e of CH4 per unit | 8.4
1_101_1010_15_4 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | tonnes | kg CO2e of N2O per unit | 6.97181
1_101_1010_8_1 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | litres | kg CO2e | 2.54016
1_101_1010_8_2 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | litres | kg CO2e of CO2 per unit | 2.52782
1_101_1010_8_3 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | litres | kg CO2e of CH4 per unit | 0.00674
1_101_1010_8_4 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | litres | kg CO2e of N2O per unit | 0.00559
1_101_1010_7_1 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Net CV) | kg CO2e | 0.25975
1_101_1010_7_2 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.25849
1_101_1010_7_3 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00069
1_101_1010_7_4 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00057
1_101_1010_6_1 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Gross CV) | kg CO2e | 0.24677
1_101_1010_6_2 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.24557
1_101_1010_6_3 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00066
1_101_1010_6_4 | Scope 1 | Fuels | Liquid fuels | Burning oil |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00054
1_101_1011_15_1 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | tonnes | kg CO2e | 3104.16462
1_101_1011_15_2 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | tonnes | kg CO2e of CO2 per unit | 3064.93
1_101_1011_15_3 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | tonnes | kg CO2e of CH4 per unit | 0.3472
1_101_1011_15_4 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | tonnes | kg CO2e of N2O per unit | 38.88742
1_101_1011_8_1 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | litres | kg CO2e | 2.58354
1_101_1011_8_2 | Scope 1 | Fuels | Liquid fuels | Diesel (average biofuel blend) |  |  | litres | kg CO2e of CO2 per unit | 2.55035
